pl_name,hostname,disc_year,pl_rade,pl_orbper,pl_orbsmax,st_teff,habitable
55 Cnc e,55 Cnc,2004.0,1.875,0.7365474,0.01544,5172.0,0
AU Mic b,AU Mic,2020.0,4.79,8.463446,0.07,3540.0,0
AU Mic c,AU Mic,2021.0,2.79,18.859023,0.119,3540.0,0
BD-14 3065 b,BD-14 3065 A,2024.0,21.59,4.2889731,0.0656,6935.0,0
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,2020.0,20.8487041,8040000.0,200.0,2320.0,0
CoRoT-10 b,CoRoT-10,2010.0,10.87,13.2406,0.1055,5075.0,0
CoRoT-11 b,CoRoT-11,2010.0,16.03,2.99433,0.0436,6440.0,0
CoRoT-12 b,CoRoT-12,2010.0,16.14,2.828042,0.04016,5675.0,0
CoRoT-13 b,CoRoT-13,2010.0,9.92,4.03519,0.051,5945.0,0
CoRoT-14 b,CoRoT-14,2010.0,12.22,1.51214,0.027,6035.0,0
CoRoT-16 b,CoRoT-16,2011.0,13.11,5.35227,0.0618,5650.0,0
CoRoT-17 b,CoRoT-17,2011.0,11.43,3.7681,0.0461,5740.0,0
CoRoT-18 b,CoRoT-18,2011.0,14.68,1.9000693,0.0295,5440.0,0
CoRoT-19 b,CoRoT-19,2011.0,14.46,3.89713,0.0518,6090.0,0
CoRoT-2 b,CoRoT-2,2008.0,16.432,1.7429935,0.02798,5625.0,0
CoRoT-21 b,CoRoT-21,2012.0,14.5717,2.72474,0.0417,6200.0,0
CoRoT-22 b,CoRoT-22,2014.0,4.88,9.75598,0.092,5939.0,0
CoRoT-23 b,CoRoT-23,2011.0,11.77,3.6313,0.048,5900.0,0
CoRoT-24 b,CoRoT-24,2014.0,3.7,5.1134,0.056,4950.0,0
CoRoT-24 c,CoRoT-24,2014.0,5.0,11.759,0.098,4950.0,0
CoRoT-25 b,CoRoT-25,2013.0,12.11,4.86069,0.0578,6040.0,0
CoRoT-26 b,CoRoT-26,2013.0,14.12,4.20474,0.0526,5590.0,0
CoRoT-27 b,CoRoT-27,2014.0,11.287,3.57532,0.0476,5900.0,0
CoRoT-28 b,CoRoT-28,2015.0,10.704595,5.20851,0.0603,5150.0,0
CoRoT-29 b,CoRoT-29,2015.0,10.0881,2.85057,0.0386,5260.0,0
CoRoT-30 b,CoRoT-30,2020.0,11.309881,9.06005,0.0844,5650.0,0
CoRoT-31 b,CoRoT-31,2020.0,16.36514,4.62941,0.0586,5700.0,0
CoRoT-32 b,CoRoT-32,2018.0,6.38913,6.71837,0.071,5970.0,0
CoRoT-35 b,CoRoT-35,2022.0,18.83108758,3.22748,0.0429,6390.0,0
CoRoT-36 b,CoRoT-36,2022.0,15.80466279,5.616531,0.066,6730.0,0
CoRoT-4 b,CoRoT-4,2008.0,13.34,9.20205,0.09,6190.0,0
CoRoT-5 b,CoRoT-5,2009.0,15.558,4.0378962,0.04947,6100.0,0
CoRoT-6 b,CoRoT-6,2009.0,13.068,8.886593,0.0855,6090.0,0
CoRoT-8 b,CoRoT-8,2010.0,6.39,6.21229,0.063,5080.0,0
CoRoT-9 b,CoRoT-9,2009.0,11.948794,95.272656,0.4021,5625.0,0
EPIC 201170410.02,EPIC 201170410,2020.0,1.047,6.7987,0.0349,3648.0,0
EPIC 201595106 b,EPIC 201595106,2021.0,1.565,0.87724,0.0177,5679.0,0
EPIC 201757695.02,EPIC 201757695,2020.0,0.90819,2.0478,0.0296,4520.0,0
EPIC 201841433 b,EPIC 201841433,2019.0,1.04,4.1698,0.035,5053.0,0
EPIC 211822797 b,EPIC 211822797,2016.0,1.92,21.1701963,0.1195,4057.0,0
EPIC 211945201 b,EPIC 211945201,2018.0,5.76,19.49221,0.1493,6069.0,0
EPIC 212737443 b,EPIC 212737443,2019.0,2.586,13.603,0.098,4684.0,0
EPIC 212737443 c,EPIC 212737443,2019.0,2.69,65.55,0.28,4684.0,0
EPIC 220674823 b,EPIC 220674823,2016.0,1.606,0.57130782,0.0132,5578.0,0
EPIC 220674823 c,EPIC 220674823,2016.0,2.712,13.340603,0.1078,5578.0,0
EPIC 229004835 b,EPIC 229004835,2023.0,2.332,16.141132,0.1237,5868.0,0
EPIC 246851721 b,EPIC 246851721,2018.0,11.780659,6.180235,0.07229,6202.0,0
EPIC 248847494 b,EPIC 248847494,2018.0,12.44199,3650.0,4.5,4898.0,0
EPIC 249893012 b,EPIC 249893012,2020.0,1.95,3.5951,0.047,5430.0,0
EPIC 249893012 c,EPIC 249893012,2020.0,3.67,15.624,0.13,5430.0,0
EPIC 249893012 d,EPIC 249893012,2020.0,3.94,35.747,0.22,5430.0,0
G 9-40 b,G 9-40,2019.0,1.9,5.7459982,0.0418,3395.0,0
GJ 1132 b,GJ 1132,2015.0,1.19151465,1.62892911,0.0157,3229.0,0
GJ 1214 b,GJ 1214,2009.0,2.733,1.580404531,0.01505,3101.0,0
GJ 143 b,GJ 143,2019.0,2.61,35.61253,0.1915,4640.0,0
GJ 238 b,GJ 238,2024.0,0.566,1.7446999,0.02123,3485.0,0
GJ 3090 b,GJ 3090,2022.0,2.18,2.85310198,0.0316,3707.0,0
GJ 3470 b,GJ 3470,2012.0,4.57,3.3366496,0.0355,3600.0,0
GJ 3473 b,GJ 3473,2020.0,1.264,1.1980035,0.01589,3347.0,0
GJ 357 b,GJ 357,2019.0,1.2,3.9306,0.036,3505.0,0
GJ 367 b,GJ 367,2021.0,0.699,0.3219225,0.00709,3522.0,0
GJ 3929 b,GJ 3929,2022.0,1.09,2.616235,0.0252,3384.0,0
GJ 414 A b,GJ 414 A,2021.0,2.63,50.8,0.2324,4120.0,0
GJ 414 A c,GJ 414 A,2021.0,8.4,749.83,1.4,4120.0,0
GJ 486 b,GJ 486,2021.0,1.289,1.46712127,0.01714,3317.0,0
GJ 806 b,GJ 806,2023.0,1.331,0.9263237,0.01406,3600.0,0
GJ 9827 b,GJ 9827,2017.0,1.44,1.208974,0.0189,4236.0,0
GJ 9827 c,GJ 9827,2017.0,1.13,3.648103,0.0395,4236.0,0
GJ 9827 d,GJ 9827,2017.0,1.98,6.20183,0.053,4236.0,0
GPX-1 b,GPX-1,2021.0,16.47720163,1.744579,0.0338,7000.0,0
Gaia-1 b,Gaia-1,2022.0,13.77583728,3.052524,0.04047,5470.0,0
Gaia-2 b,Gaia-2,2022.0,14.81827249,3.6915224,0.0467,5720.0,0
HAT-P-1 b,HAT-P-1,2006.0,14.784671,4.46529976,0.05561,5980.0,0
HAT-P-12 b,HAT-P-12,2009.0,10.749,3.2130598,0.0384,4650.0,0
HAT-P-18 b,HAT-P-18,2010.0,11.153,5.508023,0.0559,4803.0,0
HAT-P-19 b,HAT-P-19,2010.0,11.29865255,4.00878322,0.04599,4962.0,0
HAT-P-20 b,HAT-P-20,2010.0,9.718,2.875317,0.0361,4595.0,0
HAT-P-23 b,HAT-P-23,2010.0,15.334,1.212884,0.0232,5905.0,0
HAT-P-25 b,HAT-P-25,2012.0,12.722215,3.65281514,0.0466,5519.0,0
HAT-P-27 b,HAT-P-27,2011.0,11.43,3.039577,0.04,5316.0,0
HAT-P-28 b,HAT-P-28,2011.0,13.585,3.257215,0.0434,5680.0,0
HAT-P-32 b,HAT-P-32,2011.0,22.19382,2.1500082,0.03397,6001.0,0
HAT-P-34 b,HAT-P-34,2011.0,13.417173,5.452654,0.06774,6442.0,0
HAT-P-35 b,HAT-P-35,2011.0,14.930388,3.646706,0.04978,6096.0,0
HAT-P-36 b,HAT-P-36,2011.0,14.313893,1.32734683,0.0241,5620.0,0
HAT-P-37 b,HAT-P-37,2011.0,13.204,2.797436,0.0379,5500.0,0
HAT-P-38 b,HAT-P-38,2012.0,9.247,4.640382,0.0523,5330.0,0
HAT-P-39 b,HAT-P-39,2012.0,17.609,3.54387,0.0509,6430.0,0
HAT-P-4 b,HAT-P-4,2007.0,14.28,3.056536,0.04438,5860.0,0
HAT-P-42 b,HAT-P-42,2012.0,14.348,4.641878,0.0575,5743.0,0
HAT-P-43 b,HAT-P-43,2012.0,13.63,3.3326414,0.0444,5693.0,0
HAT-P-44 b,HAT-P-44,2014.0,13.922,4.301219,0.0507,5295.0,0
HAT-P-45 b,HAT-P-45,2014.0,15.984,3.128992,0.0452,6330.0,0
HAT-P-46 b,HAT-P-46,2014.0,14.392,4.463129,0.0577,6120.0,0
HAT-P-50 b,HAT-P-50,2015.0,14.437192,3.1220109,0.0453,6280.0,0
HAT-P-51 b,HAT-P-51,2015.0,13.50682174,4.21802091,0.05042,5453.0,0
HAT-P-52 b,HAT-P-52,2015.0,11.309881,2.7535953,0.03694,5131.0,0
HAT-P-53 b,HAT-P-53,2015.0,14.773462,1.9616241,0.03159,5956.0,0
HAT-P-54 b,HAT-P-54,2015.0,10.581296,3.799847,0.04117,4390.0,0
HAT-P-55 b,HAT-P-55,2015.0,14.84069045,3.5852313,0.04628,5804.0,0
HAT-P-58 b,HAT-P-58,2021.0,14.93036229,4.0138379,0.04994,6078.0,0
HAT-P-59 b,HAT-P-59,2021.0,12.58768533,4.1419771,0.05064,5678.0,0
HAT-P-60 b,HAT-P-60,2021.0,18.28184752,4.7947813,0.06277,6212.0,0
HAT-P-61 b,HAT-P-61,2021.0,10.07687365,1.90231289,0.0301,5587.0,0
HAT-P-62 b,HAT-P-62,2021.0,12.02723629,2.6453235,0.03772,5629.0,0
HAT-P-63 b,HAT-P-63,2021.0,12.5428494,3.377728,0.04294,5400.0,0
HAT-P-64 b,HAT-P-64,2021.0,19.08889413,4.007232,0.05387,6457.0,0
HAT-P-65 b,HAT-P-65,2016.0,18.05766791,2.60544751,0.04042,5872.0,0
HAT-P-66 b,HAT-P-66,2016.0,17.82231,2.972086,0.04363,6002.0,0
HAT-P-68 b,HAT-P-68,2020.0,12.016048,2.29840551,0.02996,4508.0,0
HAT-P-69 b,HAT-P-69,2019.0,18.786284,4.7869491,0.06555,7394.0,0
HAT-P-70 b,HAT-P-70,2019.0,20.96083,2.74432452,0.04739,8450.0,0
HAT-P-9 b,HAT-P-9,2008.0,15.614137,3.92281072,0.05287,6350.0,0
HATS-1 b,HATS-1,2012.0,14.594,3.446459,0.0444,5870.0,0
HATS-10 b,HATS-10,2015.0,10.861521,3.312846,0.04491,5880.0,0
HATS-11 b,HATS-11,2016.0,18.03,3.619188,0.0507,6563.0,0
HATS-12 b,HATS-12,2016.0,7.76,3.142702,0.0441,6357.0,0
HATS-13 b,HATS-13,2015.0,13.585308,3.0440499,0.04057,5523.0,0
HATS-14 b,HATS-14,2015.0,11.646151,2.7667641,0.03815,5346.0,0
HATS-15 b,HATS-15,2016.0,12.385945,1.74748753,0.02712,5311.0,0
HATS-16 b,HATS-16,2016.0,14.5717,2.686502,0.03744,5738.0,0
HATS-17 b,HATS-17,2016.0,8.709393,16.254611,0.1308,5846.0,0
HATS-18 b,HATS-18,2016.0,14.896761,0.83784,0.0174,5600.0,0
HATS-22 b,HATS-22,2017.0,10.682177,4.7228124,0.05025,4803.0,0
HATS-23 b,HATS-23,2017.0,20.84874,2.1605156,0.03397,5780.0,0
HATS-24 b,HATS-24,2017.0,15.636555,1.3484978,0.0238,6125.0,0
